emotione_category,word,odds
0,great,41.8
0,awesome,31.18
0,amazing,29.65
0,good,26.87
0,beautiful,22.87
0,nice,20.57
0,appreciate,17.56
0,cute,17.55
0,best,17.26
0,pretty,13.86
0,fantastic,13.15
0,cool,10.94
0,excellent,10.83
0,brilliant,9.96
0,adorable,9.89
0,wonderful,9.85
0,incredible,9.79
0,job,9.77
0,gorgeous,9.58
0,impressive,9.55
0,wow,9.23
0,looks,8.41
0,perfect,8.2
0,congrats,8.17
0,handsome,7.9
0,such,7.7
0,impressed,7.66
0,appreciated,7.36
0,genius,7.23
0,congratulations,7.21
0,interesting,7.18
0,proud,6.85
0,sweet,6.6
0,very,6.53
0,favorite,6.49
0,delicious,6.42
0,sexy,6.21
0,legend,6.15
0,super,6.14
0,stunning,6.05
0,brave,5.56
0,glorious,5.35
0,this,5.35
0,ever,5.23
0,really,5.18
0,greatest,5.13
0,beauty,5.13
0,art,4.89
0,applaud,4.82
0,honesty,4.81
0,idea,4.7
0,nailed,4.49
0,smart,4.41
0,performances,4.41
0,neat,4.34
0,look,4.31
0,smarter,4.29
0,talented,4.26
0,lovely,4.18
0,cutie,4.15
0,clever,4.13
0,truly,4.08
0,love,4.05
0,movie,4.04
0,gesture,3.96
0,one,3.94
0,hero,3.89
0,patience,3.89
0,lit,3.88
0,artwork,3.88
0,cutest,3.84
0,outstanding,3.83
0,soundtrack,3.77
0,breakers,3.74
0,satisfying,3.64
0,cinematic,3.54
0,absolutely,3.52
0,story,3.5
0,dedication,3.49
0,amazingly,3.47
0,treasure,3.47
0,salute,3.44
0,admire,3.44
0,album,3.41
0,respect,3.4
0,praise,3.39
0,beacon,3.39
0,majestic,3.39
0,photo,3.38
0,courage,3.37
0,delightful,3.37
0,beautifully,3.36
0,famous,3.36
0,movies,3.35
0,props,3.34
0,charming,3.32
0,favourite,3.32
0,perfectly,3.31
0,sweetest,3.31
0,visualization,3.28
0,pilgrim,3.28
0,dashing,3.28
0,novo,3.28
0,skater,3.28
0,circlejerking,3.28
0,x65,3.28
0,litchfield,3.28
0,wholesome,3.27
0,game,3.26
0,talent,3.25
0,film,3.25
0,legendary,3.25
0,seen,3.24
0,nonetheless,3.24
0,cuteness,3.23
0,loved,3.22
0,played,3.21
0,well,3.21
0,downtown,3.21
0,greatly,3.19
0,sounds,3.18
0,appreciation,3.18
0,binged,3.16
0,stud,3.15
0,pic,3.14
0,bestest,3.11
0,admired,3.11
0,prettiest,3.11
0,summed,3.09
0,rogue,3.09
0,simpsons,3.07
0,admirable,3.06
0,work,3.03
0,sir,3.03
0,done,3.02
0,winner,3.02
0,informative,3.01
0,museum,3.01
1,lol,65.47
1,haha,32.19
1,funny,26.68
1,lmao,20.18
1,hilarious,18.42
1,fun,16.92
1,hahaha,15.62
1,laugh,14.26
1,laughed,12.98
1,joke,12.25
1,laughing,9.67
1,hahahaha,7.47
1,funnier,7.09
1,hahah,6.41
1,funniest,6.26
1,hehe,5.55
1,joking,5.51
1,hahahah,5.23
1,nike,5.12
1,entertaining,4.56
1,kidding,4.5
1,jokes,4.38
1,loud,4.37
1,chuckle,4.2
1,lmfao,4.18
1,hahahahaha,4.13
1,amusing,3.72
1,made,3.69
1,laughable,3.56
1,ahahaha,3.56
1,actually,3.47
1,hah,3.44
1,antis,3.4
1,gnt,3.4
1,lolz,3.4
1,asain,3.4
1,brazzers,3.4
1,wtaf,3.4
1,themes,3.4
1,hahahahahaha,3.38
1,lmaooo,3.22
1,rofl,3.21
1,giggled,3.21
1,ahaha,3.18
1,stbxh,3.04
1,bahahaha,3.04
1,buncha,3.04
1,stares,3.04
1,giggling,3.04
1,lool,3.03
1,duke,3.03
1,pear,3.03
1,cemetery,3.03
1,bargaining,3.03
1,lmaoo,3.03
2,fuck,23.22
2,hate,17.37
2,fucking,16.97
2,angry,10.82
2,dare,10.25
2,shut,7.6
2,stupid,7.21
